element_name,key,value
amenity=bench,amenity,bench
bicycle_parking,amenity,bicycle_parking
bollard,barrier,bollard
bus_station,amenity,bus_station
bus_stop,highway,bus_stop
crossing,highway,crossing
entrance,entrance,*
outdoor_seating,amenity,biergarten
outdoor_seating,outdoor_seating,*
post_box,amenity,post_box
sidewalk,highway,*
steps,highway,steps
street_lamp,highway,street_lamp
taxi_rank,amenity,taxi
telephone,amenity,telephone
train_station,railway,station
tree,natural,tree_row
underpass,tunnel,*
waste_basket,amenity,waste_basket
